,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,pH
399,41.8424,2.4281,0.17124463519313304,1220.0,1369.0,1491.0,1931.0,1951.0,2522.0,2861.0,2729.0,3072.0,908.0,11.0,3537.0,2639.0,4.8
400,41.9285,2.7503,0.0505804311774461,1301.0,1172.0,1072.0,1145.0,1211.0,1321.0,1404.0,1267.0,1427.0,410.0,13.0,1446.0,1097.0,6.2
401,41.7696,2.7156,0.16889185580774366,1402.0,1132.0,1058.0,1245.0,1297.0,1622.0,1799.0,1751.0,2023.0,471.0,12.0,2024.0,1380.0,6.8
402,42.1507,2.7503,0.12984268607654378,1376.0,1308.0,1499.0,1853.0,1996.0,2287.0,2525.0,2406.0,2696.0,644.0,13.0,3284.0,2289.0,7.1
403,37.7506,-2.45,0.09526184538653366,2416.0,2538.0,2930.0,3628.0,3906.0,4217.0,4482.0,4392.0,4700.0,1958.0,24.0,5163.0,4127.0,8.4
404,37.8173,-2.4333,0.12832072130091773,2004.0,1846.0,2025.0,2707.0,3003.0,3213.0,3529.0,3504.0,3905.0,1794.0,23.0,4292.0,3018.0,8.1
405,37.4006,-3.3,0.18194801485289916,1475.0,1198.0,1231.0,1432.0,1571.0,1880.0,2017.0,2069.0,2261.0,1136.0,16.0,2891.0,2003.0,8.4
406,37.4839,-2.7667,0.08662242403073699,2315.0,2220.0,2296.0,2615.0,2944.0,3159.0,3340.0,3111.0,3489.0,1304.0,17.0,3104.0,2498.0,8.1
407,37.3673,-2.7667,0.18275958578225582,1242.0,1157.0,1208.0,1460.0,1642.0,1947.0,2111.0,2113.0,2296.0,1027.0,17.0,2935.0,2350.0,7.6
408,37.4506,-2.5833,0.04409090909090909,1753.0,1419.0,1575.0,2103.0,2416.0,2480.0,2638.0,2297.0,2615.0,1068.0,17.0,2556.0,2063.0,8.1
409,37.3172,-3.1833,0.08819936476911801,1708.0,1473.0,1608.0,1866.0,2308.0,2481.0,2610.0,2227.0,2531.0,960.0,14.0,2753.0,2501.0,7.9
410,37.3173,-3.0667,0.09715457574980774,1667.0,1471.0,1580.0,1761.0,1961.0,2124.0,2244.0,2140.0,2381.0,994.0,14.0,2564.0,2031.0,7.2
411,37.2673,-3.1833,0.15594059405940594,1289.0,1182.0,1214.0,1364.0,1521.0,1763.0,1862.0,1868.0,2015.0,843.0,12.0,2314.0,1728.0,8.0
